user,role,degree_w,betweenness,community
elmast729,contributor,39,3.9546241490897365e-05,37
kristabarista,contributor,39,3.9546241490897365e-05,37
kerriejean,contributor,39,3.9546241490897365e-05,37
air_guitar,contributor,39,3.9546241490897365e-05,37
heather23,contributor,39,3.9546241490897365e-05,37
happybeany,contributor,39,3.9546241490897365e-05,37
whlebinsky,contributor,37,3.9504792442289387e-05,0
vivi121709,contributor,37,3.9504792442289387e-05,0
nursingstudent,contributor,37,3.9504792442289387e-05,0
montague,contributor,37,3.9504792442289387e-05,0
surprise,contributor,37,3.9504792442289387e-05,0
jhawblitz,contributor,37,3.9504792442289387e-05,0
j4sb,contributor,37,3.9504792442289387e-05,0
itsdeb22,contributor,37,3.9504792442289387e-05,0
luvsoylatte,contributor,37,3.9504792442289387e-05,0
maa5sg,contributor,37,3.9504792442289387e-05,0
katcreations,contributor,37,3.9504792442289387e-05,0
physgirl,contributor,33,3.9300869779044706e-05,8
rlaw2000,contributor,33,3.9300869779044706e-05,8
sarah357,contributor,33,3.9300869779044706e-05,8
whatthe,contributor,14,3.9214178201768325e-05,1
lcw916,contributor,14,3.9214178201768325e-05,1
nbillmyre,contributor,14,3.9214178201768325e-05,1
srfrgrl,contributor,14,3.9214178201768325e-05,1
wrodarmel,contributor,14,3.9214178201768325e-05,1
xbmxer,contributor,14,3.9214178201768325e-05,1
lovmochafrap,contributor,23,3.908381958247933e-05,0
kaer,contributor,23,3.908381958247933e-05,0
lightningrook,contributor,23,3.908381958247933e-05,0
littlefoot777,contributor,23,3.908381958247933e-05,0
hummrbrd,contributor,23,3.908381958247933e-05,0
TKNoss,contributor,44,3.897893827655363e-05,0
xoxokj,contributor,21,3.892054713596382e-05,1
tufbooktrav,contributor,21,3.892054713596382e-05,1
webetoyz,contributor,21,3.892054713596382e-05,1
bybrandy,contributor,21,3.892054713596382e-05,1
christytea,contributor,21,3.892054713596382e-05,1
bluemountaince,contributor,21,3.892054713596382e-05,1
i_live2fly,contributor,21,3.892054713596382e-05,1
kgd123,contributor,21,3.892054713596382e-05,1
Reagon,contributor,42,3.891798733864219e-05,1
StillLaughing,contributor,32,3.882327509204029e-05,0
Stellaaaaa,contributor,74,3.854170199066268e-05,3
gr8latte,contributor,40,3.8485877408917035e-05,8
